연번,이름,내용
42,목에 좋은 모과차에 유자청을 넣으세요,"‘어물전 망신은 꼴뚜기가 시키고 과일전 망신은 모과가 시킨다’ 는 속담에서 알 수 있듯이 모과는 향과 빛깔은 좋으나 맛은 시고 모양이 못생겼다. 모과의 성질은 따뜻하고 독성은  없다. 가래를 없애고 기침을 멎게 해 예로부터 기관지염, 인후염에 민간요법으로 이용해 왔다. 또한 한방에서는 관절통, 근육이 뒤틀리고 수분이 부족할 때 모과를 처방하였다. 과육의 주요성분은 수분 80%, 당질 13.4~20%, 섬유질 1.3~4.4%, 회분 0.3~0.7%이고 과실에는 구연산, 사과산, 주석산, 구연산, 비타민 C, 탄닌 등이 함유되어 있다. 모과는 소화효소의 분비를 촉진시켜 위를 비롯한 소화기관이 튼튼해지고 입덧이 심한 경우도 효과가 있다. 주로 모과는 차, 술을 담가 먹는데 주로 차를 많이 만들어 마신다. 모과와 설탕을 적당히 넣어 항아리에 담아 1개월 정도 재워 둔다. 모과 즙이 충분히 생기면 찻잔에 담아 뜨거운 물에 타 마신다. 모과차는 향은 좋지만 맛이 조금 밋밋한 편인데 유자에 설탕, 꿀을 넣어 만든 유자청을 곁들이면 유자의 상큼한 맛이 모과차에 더해져 더욱 풍미가 있다. 또한 유자의 풍부한 비타민 C가 보완되어 맛과 영양이 썩 잘 어울리는 차를 마실 수 있다."
43,송화가루와 꿀을 섞어 만든 송화다식,"송화는 봄에 소나무의 수꽃 이삭을 따서 꽃가루를 털어 얻은 것이다. 송화의 성분은 단백질, 당질, 비타민 B 복합체, 무기질이 함유되어 있고 아데닌, 히스티딘, 콜린 등도 함유되어 있다. 또한 신지대사를 촉진하는 폴리페놀과 정유도 있으며 체내에 세포막을 산화시키는 과산화물질을 제거하는 특징도 가지고 있다. 송화는 술에 우려먹거나 가루 그대로 먹기도 하였지만 주로 꿀과 함께 버무려 다식판에 찍어낸 다식을 만들어 먹었다. 송화의 차가운 성질을 보완 할 수 있는 꿀은 옛날부터 건강, 미용에 좋은 식품으로 이용되어 왔다. 꿀의 당분은 설탕보다 흡수가 잘되고 속이 차고 위장이 약한 소화기 장애에 효과가 있다. 또한 몸의 저항성을 증진시키고 비타민 B6을 많이 함유하고 있어 거친 피부를 매끄럽게 한다. 송화와 꿀을 섞어 만든 송화다식은 서로 잘 맞는 음식이다. 송화는 수렴작용이 뛰어나 변비를 일으킬 우려가 있으나 꿀은 송화의 수렴작용을 완화시켜 주는 기능이 있다. 또 다식은 만든 후 일정 시간이 경과하면 굳는 단점이 있는데 꿀은 보습력이 커 다식이 굳는 것을 막아 다식의 조직감를 부드럽게 유지시켜 준다. 또한 송화 가루의 밋밋한 맛에 꿀에 단맛이 더해져 더욱 맛도 좋게 만든다. "
44,겨울철 감기는 배와 생강이 해결한다," 배의 성질은 차고 서늘하며 맛은 달고 시다. 배에는 육질을 부드럽게 하는 성분이 있어 불고기를 잴 때 배를 썰어 넣었다. 배의 성분을 살펴보면 과육의 수분은 89%로 주성분은 당이다. 당 함량은 10~12%로 설탕, 과당, 솔비톨, 포도당, 이노시톨 등을 함유한다. 배의 까끌까끌한 석세포는 리그닌과 펜토산이 주성분이고 유기산으로 시트르산, 말산 등이 포함되어 있다. 배는 변비에 좋고 소변을 원활하게 하는 효과가 있으며 또 기침과 담이 있을 때 배즙에 생강즙과 꿀을 넣어서 먹으면 치료 효과가 있다. 배의 차가운 성분을 성질이 뜨거운 생강을 넣어서 부작용을 줄인 것이다. 생강의 따뜻한 성질은 뱃속을 따뜻하게 하여 소화기관을 튼튼하게 하고 혈액순환도 촉진하며 혈중의 콜레스테롤도 떨어뜨린다. 배즙에 생강은 배의 향미를 더해주어 치료효과도 있으면서 맛도 좋은 서로 잘 맞는 짝이다."
45,매실과 차조기의 절묘한 만남 -우메보시,"매실은 매화나무의 열매로 5~6월경에 채취한다. 덜 익은 열매를 채취하여 햇볕에 말려 쓰기도 하고 한방에서는 말린 매실을 약한 불에 쬐어 검은 빛이 도는 ‘오매’를 약용으로 이용하기도 하였다. 매실은 구연산, 사과산, 호박산, 탄수화물 등을 함유하며 특히 잘 익은 과실에는 시트르산, 말산, 옥살산, 수산, 푸마르산 등이 함유되어 신맛이 강하다. 매실의 신맛은 호흡 순환기에 효과가 있어 폐 기운이 약해 오래된 해소병, 기침 등의 증상에 효과가 있다. 또한 매실의 떫은맛은 수렴작용이 있어 오래 전부터 지사제로 쓰였고 갈증이 심할 때 갈증해소에도 효과가 있다. 매실을 이용한 음식에는 매실장아찌, 매실주, 매실잼 등이 있으나 일본의 우메보시는 매실을 이용한 대표적인 음식이다. 청매를 이용한 우메보시가 붉은 색을 띄는 이유는  차조기 잎과 매실의 화학적 반응의 결과이다. 차조기잎을 짠 물을 매실에 넣으면 매실에 함유된 여러 가지 산 성분과 차조기잎의 안토시안(anthocyan) 색소의 화학반응 결과로 붉은색으로 변하게 된다. 차조기는 차조기과의 1년초로 잎은 자색을 띄고 독특한 향을 가진다. 특별한 손질이 없이 잘 자라며 자색종과 녹색종 두 종류가 있다. 차조기의 성분은 단백질, 당질, 섬유소, 회분 외 무기질을 함유하며 특히 비타민 A와 C는 다른 채소류에 비해 월등히 함유량이 많다. 또한 콜레스테롤을 제거하는 필수 지방산인 리놀산이 풍부히 함유되어 있고, 착색료, 방부제로서의 역할도 있다. 따라서 5~6월에 생산되는 청매와 천연색소인 차조기잎의 만남은 여름철 부패의 걱정도 없애고 색도 예쁘게 낼 수 있는 우메보시를 만들 수 있다."
46,튀김을 먹을 때 토마토와 함께 즐겨요,"최근 토마토의 붉은 색소 성분인 리코펜이 항산화작용으로 심혈관 질환과 암예방효과가 있음이 밝혀져 주목을 받고 있다. 토마토의 본래 산지는 남미의 서부 고원지대이고 우리나라의 전해진 것은 1600년경으로 추정된다. 토마토의 성질은 평이하며 소화를 촉진하고 위장기능을 도와준다. 주성분은 수분 92%, 당분 3.0%, 유기산의 함량이 작아 신맛이 거의 없다. 특히 비타민 A의 전구체인 베타카로틴과 B, C 루틴, 카로틴류의 붉은색소 리코펜을 함유하고 있다. 토마토의 효능 중 혈압을 내리는 기전은 토마토에 들어있는 비타민 C가 인체 내의 모세혈관을 튼튼하게 해주고 루틴이 삼투압을 조절하여 모세혈관을 강하게 하는 작용을 가지고 있기 때문이다. 또한 토마토는 탄수화물대사나 지질대사를 도와주는 작용이 있어 비만을 염려하는 사람들이 안심하고 먹어도 되는 채소이다.    기름에 튀긴 음식은 풍미가 좋아 성호도가 높은 음식이긴 하나 열량이 많고 위에 부담이 되어 비만을 염려하는 사람들은 꺼리게 된다. 하지만 토마토와 함께 먹으면 소화를 촉진하여 위의 부담을 줄여 줄 뿐 아니라 토마토에 풍부한 식이섬유소 는 장운동을 도와주는 역할을 한다."
47,바나나와 파인애플을 섞어 쥬스를 만들어요,"바나나의 원산지는 열대 아시아이고 성질은 차가운 편이며 맛은 달다. 바나나 100g 에는 87kcal의 열량을 갖으며 수분 64%, 단백질, 셀룰로오스, 헤미셀룰로오스 등이 함유되어 있다. 칼륨이 풍부하고 비타민 B6와 C도 함유한다. 바나나의 단맛은 과당과 포도당으로 주로 단당류나 이당류로 소화흡수가 쉬운 편이다. 바나나는 심장박동 조절이나 신체의 무기질의 균형을 유지해 주며 펙틴의 함유로 변비에 효과적이다. 바나나는 다른 식품들과 잘 어울리는 성질을 가지고 있어 우유나 쥬스 등에 많이 이용되고 있다. 파인애플은 특히 바나나와 조화가 질 되는 과일로 바나나에 없는 구연산, 사과산, 주석산등의 신맛 성분이 다량 들어 있다.   또 비타민 B1, B2, C 식이섬유를 함유하고 있다. 또한 파인애플은 육류의 단백질을 분해 하는 효소도 가지고 있다. 바나나가 가지는 풍부한 당질을 대사하는데 도움이 되는 비타민 B1을 가지는 파인애플과 함께 섞은 쥬스는 신진대사를 촉진할 뿐 아니라 피로회복에도 효과가 있다."
48,따뜻한 감잎차에 상큼한 유자청을 넣어 봐요,"근 비타민 C가 노화를 억제하고 건강을 유지시키는 영양소로 각광을 받고 있다. 비타민 C는 아스코르빈산이라고 불리며 우리 몸에서 중요한 역할을 담당한다. 세포와 세포를 잇는 결합조직의 형성물질인 콜라겐을 합성하고 피부의 멜라닌이라는 색소의 침착을 막아주며 여러 내분비호르몬의 균형을 잡게 해준다. 비타민 C는 주로 채소, 과일 등에 많이 함유 되어 있는데 특히 감잎에 많이 들어있다. 감잎에는 섬유질, 단백질, 엽록소, 비타민, 무기질이 많은데 비타민 C와 폴리페놀, 엽록소 등과 함께 우리 몸에 유익한 영향을 미친다.감잎 100g 중에는 500mg의 비타민 C가 함유되어 있는데 이것은 레몬의 10~20배나 되는 많은 양이다. 감나무의 새순을 돋아내는 봄 비타민의 보고인 감잎을 따서 감잎차를 만들어 1년 내내 비타민 C를 마셔보자. 감잎차를 만드는 방법은 찜통에 김이 오르기 시작하면 잘 씻어 준비한 감잎을 살짝 쪄 내고 그늘에 말려 밀폐된 용기에 넣어 보관한다. 감잎차의 비타민 C는 많은 양이 물에 용출된다. 감잎차는 감기, 위염, 당뇨병 등의 질환에도 효과가 있어 차로 즐기기에 좋다. 그러나 감잎차는 다른 차에 비해 단맛이나 상큼한 맛이 부족하다. 감잎차를 보완 할 수 있은 것이 유자이다. 감잎차에 유자의 새콤달콤한 맛이 더해지면 맛도 좋고 영양가도 더욱 상승하여 궁합이 잘 맞는 식품이라 할 수 있다."
49,임산부들은 굴과 우유를 함께 드세요.,"굴은 강장 &#8228; 강정 작용이 뛰어난 식품으로 스테미나 증강에 도움이 될 뿐 아니라 소화흡수도 잘 되고 피의 흐름을 좋아지게 하여 피로회복에도 큰 도움을 주며 각종 미네랄과 아미노산이 풍부하여 내장 기능을 강화시켜 주는 역할을 한다.  또한 특수성분으로 유황 함유 아미노산의 한 종류인 타우린이 들어있어 콜레스테롤 수치를 감소시켜 혈압을 조절해 주는 역할을 하며 시력을 향상시키는 작용 뿐 아니라 빈혈과 당뇨병 예방에도 생리적 효과가 큰 것으로 알려져 있다.  우유는 우리 몸에 필요한 영양소들을 거의 완전하게 함유하고 있는 것으로 잘 알려져 있는 이상적인 식품이다. 그런데 우유가 다른 것에 비해 아연의 함량이 비교적 적은 반면, 굴은 식품 가운데 아연이 많이 들어있다.   임신한 여성들이 구토 증세로 고생하는 경우가 많은데 이는 비타민 B6를 무기질 아연과 함께 섭취하면 효과를 볼 수 있다. 즉 아연이 많이 들어있는 굴과 비타민 B6가 풍부한 우유를 함께 섞어 요리한 음식은 임신한 여성에게는 매우 훌륭한 간식이 될 것이다.  이 밖에 아연을 비교적 많이 함유하고 있는 식품인 새우, 대두, 난황, 치즈, 표고, 무말랭이, 미역 등과 비타민 B6 를 많이 함유하고 있는 효모, 간, 육류, 생선, 달걀, 분유, 두류 등을 같이 먹어도 좋다."
50,무를 넣어 고등어의 비린내를 없애요.,"고등어는 철분이 많을 뿐 아니라 흡수율이 높아 식욕부진, 월경불순, 두통, 피로, 빈혈 등에 효과가 좋은 식품이다. 특히 감기 바이러스에 대한 저항력을 기르는데 무엇보다 비타민A가 중요한 데 고등어와 같은 등푸른 생선에는 비타민A가 많이 들어있어 감기를 예방하는 식품으로도 잘 알려져 있다.  또한 DHA가 들어 있어 뇌기능을 향상시키고 치매예방에도 좋을 뿐 아니라 콜레스테롤치를 감소시키고 심장을 보호하며 간의 해독작용을 돕는 타우린이 들어있어 당뇨병에도 치료효과가 있는 식품이다.  생선조림을 할 때에는 무가 꼭 들어가는데 무에는 소화효소가 많기 때문에 소화를 촉진시킬 뿐 아니라 무의 매운 성분인 이소시아네이트 등이 생선의 비린내를 없애주는 역할을 한다. 횟집에서 무채를 깔고 회를 내놓는 이유도 이와 비슷하다.   고등어조림을 할 때에는 무에 양념장과 물을 붓고 끊여 익힌 다음 고등어에 밀가루를 묻혀 지진 고등어를 채소와 함께 넣고 버무리듯이 살짝 조려야 더욱 맛이 난다."
51,복어 요리엔 해독성분이 뛰어난 미나리를 넣어요.,"복어살은 희고 맑으며 양질의 단백질이 많은 반면 지방이 적어 고단백 식품으로 잘 알려져 있다. 복어는 주로 회나 포를 만들어 먹는데 예전에는 복어를 잘 다루지 못해 식중독으로 목숨을 잃는 경우가 많았다.   복어는 3월이 산란기인데, 이 시기가 가장 독성이 강한 때로 알려져 있다. 복어의 독은 테트로도톡신으로서 복어의 난소와 간장에 특히 많고, 소화관, 피부, 혈액에도 존재한다. 보통사람들이 조리하기에는 위험하므로 복어요리는 복어를 다룰 수 있는 면허증을 가진 사람이 하고 있다. 이 독성분은 동물의 중추와 말초신경에 작용하여 지각이상, 운동장애, 혈류장애를 일으킨다고 한다. 복어독의 중독증세는 피부나 혀의 앞부분에 마비가 일어나고  그다음으로 운동장애가 오며 호흡마비가 일어나면서 사망하게 된다.  복어탕을 끓일 때 미나리를 넣으면 맛도 좋을 뿐 아니라 복어의 독을 중화하는 작용을 해 복어와 미나리는 서로 잘 맞는다고 할 수 있다. 요즈음 하수처리장, 축산 폐수장, 오&#8228;폐수의 수질 정화물질로 미나리를 많이 보급하고 있는 까닭도 미나리가 해독 및 중금속 정화작용이 뛰어나기 때문일 것이다. 매연이나 먼지가 많은 곳에서 일하는 사람들은 미나리를 자주 먹으면 기관지와 폐를 보호할 수 있어서 좋다고 한다.  또한 미나리는 피를 맑게 하는 식품으로 해열진정, 해독, 혈압 강하, 일사병에 효능이 뛰어난 식품으로 알려져 있다. "
52,재첩국에는 부추를 넣어 끓여요.,"지리산 서쪽 자락을 휘감고 내려 영·호남을 가로지르는 섬진강변의 별미 중 첫손에 꼽히는 것이 있다면 바로 재첩이다. 섬진강 일대에서 많이 잡히는 재첩은 일반조개보다 크기는 작지만 영양분은 두 배 이상이다.  재첩은 검고 알이 큰 것이 질이 좋은 것이며 재첩을 요리할 때는 민물에 담가 모래를 토해 내게 한 후 사용해야 한다.   재첩은 비타민B와 베타인, 메치오닌 등의 아미노산이 풍부하고 타우린이나 아미노산은 담즙산과 결합되어 해독작용을 함으로써 간장의 기능을 촉진시키고 황달에 치료효과가 높다. 또한 여러가지 미네랄과 소화를 돕는 각종 효소도 들어 있어 간기능을 향상시키며 특히 비타민 등 각종 무기질이 풍부하게 함유되어 있어 재첩으로 끓인 국은 음주 후 숙취해소에 탁월한 효능이 있어 최고의 해장국으로 손꼽힌다.  재첩은 이렇게 영양면에서 우수한 식품이지만 비타민A의 함량이 적다는 결점이 있다. 그래서 재첩을 끓일 때 비타민A의 모체인 배타 카로틴이 매우 풍부한 부추를 넣어 끓이면 이러한 결점을 보완할 수 있어서 좋다.  또한 부추의 알릴 성분은 소화를 돕고, 장을 튼튼하게 하며 강장 강정효과가 뛰어나다."
53," 추어탕의 비린내를 없애주는 향신료, 산초","여름 무더위에 시달린 우리의 몸에 원기를 불어 넣는 식품으로 옛날부터 추어탕이 추천되어 왔다. 미꾸라지는 미끈미끈하기 때문에 붙여진 이름으로 논과 도랑 또는 얕은 흙탕바닥에서 주로 살지만 요즘은 양식을 많이 하고 있다.  미꾸라지의 한명(漢名)이 추어(鰍魚)인데 가을에 제 맛이 난다고 해서 붙여진 것이다. 미꾸라지는 겨울에는 흙탕물 속에서 먹이를 먹지 않고 동면하기 때문에 살이 빠져 가을보다는 맛이 덜하므로 미꾸라지 요리인 추어탕은 늦여름과 가을에 요리해 먹으면 더욱 맛이 있다.  미꾸라지는 질 좋은 단백질이 많고 칼슘과 비타민 A, B, D가 많기 때문에 정력을 돋아 주는 강장 강정식품으로 알려져 있다.  식물성 위주의 식생활을 주로 하는 우리나라 사람들에게 미꾸라지는 고단위 영양제나 다름없다.   추어탕은 지방마다 끓이는 방식이 다소 다르나 호박순을 갈아 넣고 끓이면 비린내를 가시게 하는데 도움이 된다. 또한 추어탕을 먹기 직전에 향신료를 사용하여 비린내를 없애고 맛을 좋게 하는데 이용하는 것이 산초이다. 산초는 건위, 해독작용, 이질, 설사, 기침, 회충구제 등에 쓰이며 매운 맛을 내는 성분이 산시올은 국소 마취 작용이 있어 해독제로도 사용된다.  "
54,생선초밥에는 고추냉이가 필수!,"  날 생선을 즐겨먹는 일본 사람들은 고추냉이가 생선 특유의 비린 냄새를 상쇄시키고 강력한 살균효과가 있어 식중독균을 죽이기 때문에 생선초밥에 즐겨 사용하고 있다. 또한 일본은 여름엔 특히 고온다습한 기후라 음식이 상하기 쉬운데 초밥도 밥이 상하는 걸 막고 오래 보존하기 위해 식초와 설탕 등으로 조미한 밥에 고추냉이를 함께 넣어 요리하였다.   우리가 흔히 부르는 와사비는 고추냉이의 일본말이며 한자명은 산규(山葵), 영어로는 호스래디쉬라고 불린다.  고추냉이는 겨자과에 속하는 다년초로 잎은 심장형이고 지하경은 비대한 원추형인데 고추냉이의 근경에는 전분분해효소 아밀라아제가 함유되어 있으며 이는 초밥의 소화를 돕는 역할을 한다.  고추냉이는 비타민 C의 안정화(비타민C의 산화억제 작용), 베타아밀라제 활성촉진, 식욕 증진, 비타민 B₁합성증강, 향균성 등의 효과가 있어 건강식품으로 각광 받고 있다.    단맛과 향기를 가지고 있어 일본인의 실생활에 필수적인 생선회, 생선초밥, 메밀국수, 생선묵 등의 향신료로 이용되고 있다. 주로 근경과 화경(꽃대)이 생식용으로 이용되며 엽, 엽병, 잔뿌리 등도 가공원료로 쓰인다. "
55,생선회를 먹을 땐 생강을 곁들여요.," 흔히 생선회를 먹은 다음 심하게 토하고 설사를 하는 경우가 많은데 이는 장염 비브리오균이 묻어 있어 식중독을 일으키기 때문이다. 장염 비브리오균은 콜레라균과 비슷하게 생겼으나 오열, 발열 등의 전신증상, 복통, 구토, 설사, 홍반 등의 증세를 나타낸다.  그래서 이런 토사곽란을 막기 위해 예로부터 생선회를 먹을 때 생강 채친 것을 곁들여 먹었다.    생강은 소화액의 분비를 자극하고 위장의 운동을 촉진하는 성분이 있어 식욕을 좋게 할 뿐 아니라, 디아스타제와 단백질 분해효소가 들어 있어 생선회 등의 소화를 돕고 생강의 향미성분은 소화기관에서의 소화흡수를 돕는 효능도 있다.   또한 생강은 식중독을 일으키는 균에 대해 살균, 항균 작용이 뛰어나다. 생강의 맵싸한 성분은 진저롤과 쇼가올이 주성분이며 향기 성분은 여러 가지 정유 성분인데 이 정유들이 매운 성분과 어울려 티푸스균이나 콜레라균 등 세균에 대한 살균력을 나타내는 것이다. 특히 진저롤과 쇼가올은 여러 가지 병원성 균에 대해 강한 살균작용이 있다.  따라서 생선회를 먹을 때 생강 채썬 것을 함께 먹게 되면 생선의 비린내도 어느 정도 제거가 되고 살균작용도 뛰어나므로 세균성 식중독 예방에도 효과가 크다.  "
56,아욱국을 끓일 때는 새우를 꼭 넣으세요.,"아욱은 예로부터 계절이 바뀌거나 기력이 떨어지며 입맛을 잃기 쉬운 계절에 입맛을 돋우는 음식으로 많이 애용되었다. 아욱은 영양면에서 볼 때에도 단백질, 당질, 섬유소, 무기질, 칼슘, 인, 칼륨, 비타민A, B1, B2, C 등이 풍부하게 함유되어 있으며 영양가가 높기로 이름난 시금치보다도 단백질이 2배, 지방이 3배나 더 들어 있고 발육기의 어린이에게 필요한 무기질, 칼슘도 2배나 더 들어 있다.아욱은  그 성질이 차고 미끄러워서 소변과 대변을 잘 나가게 한다. 한방에서는 아욱씨와 뿌리는 이뇨제, 변비치료제 등으로 쓰인다. 일반적으로는 아욱의 연한 줄기와 잎을 주로 먹는데 된장을 풀어 넣고 국을 끓인다거나 장국과 다진고기, 새우 등을 넣고 죽을 끓인다.     강장식품으로 손꼽히는 새우는 종류에 따라 차이는 있지만 주성분이 단백질로 메치오닌과 라이신을 비롯한 8종의 필수 아미노산을 골고루 함유하고 있으며 단맛을 내는 글리신이라는 아미노산과 강장효과가 있는 베타인이 함유되어 있어 콜레스테롤을 감소시키는 작용까지도 한다. 이 외에도 무기질, 비타민 B2, B6, B12 등이 풍부하나 비타민 A와 C는 거의 들어 있지 않아 비타민 A와 C, 섬유질이 풍부한 알칼리성 식품인 아욱을 함께 먹으면 영양면에서 균형 있는 식생활을 할 수 있다.  새우를 넣어 아욱국을 끓일 때는 아욱을 잘 다듬어 치대 풋내를 제거하고 쌀뜨물을 부어 끊이거나 새우로 물을 내어 토장을 넣고 끓이기도 한다. 또한 아욱죽은 소화력이 떨어진 사람이나 회복기에 있는 환자에게 좋은 음식이다."
57,미더덕 향미를 더해주는 콩나물,"미더덕은 전체길이가 5∼10cm 정도이며 외피는 섬유질과 같은 물질로 되어 있고 딱딱하다. 몸 빛깔은 사는 바다의 밑바닥 색에 따라 다른데 황갈색에서 회갈색, 등황색을 띠며 안쪽 면은 흰색을 띤다. 표면이 울퉁불퉁하고 빛깔도 우중충한 편이어서 크게 주목을 끌지 못했으나 그 자체의 맛이 독특해 이제는 국이나 탕류, 찌개류에 널리 사용되고 있다.   한국의 전 연안에서 서식하고 있으며 1년 내내 출하되는데 4~7월이 성수기다. 바닷물을 담아 보관하면 그 맛을 오래 유지할 수 있으며 미더덕 안의 물기를 제거한 뒤 밀폐용기에 담아 냉동시키면 장기간 저장해 사용할 수 있다.   산에서 캐낸 더덕을 닮아 미더덕이라는 이름이 붙여졌는데 크기는 작지만 흔히 멍게로 불리는 우렁쉥이와 비슷한 맛이 난다. 미더덕찜은 미더덕을 콩나물 등 여러가지  채소와 함께 끓여 찹쌀가루를 풀어 되직하게 만들어  향과 채소의 담백함이 어우러진 특미 음식으로 경남 마산 지방의 향토음식으로 널리 알려져 있다.  미더덕이 들어가는 요리에는 콩나물을 많이 사용하는데 콩나물은 비타민C가 풍부한 식품으로 감기에도 효과가 만점이며 피부를 곱게 해주는 작용이 있어 미용식의 효과도 있다. 또한 우레아제, 아미다아제, 인베르타아제, 아밀라아제 등의 효소가 많아 저혈압인 사람에게도 좋은 식품이다.    이와 같이 미더덕 요리에는 많은 양의 콩나물이 활용되는데 이는 비타민C를 보완하며 콩나물의 아삭아삭한 씹히는 맛과 미더덕의 고유의 향미를 강조시키는 역할도 한다."
58,부종에는 잉어와 팥을 달여 마셔요.,"사람 몸의 70% 가량을 차지하고 있는 물은 여러 가지 영양소를 운반하고 배설, 세포 내의 각종 생리작용에 관여해 건강을 좌우하는 가장 큰 요인이 되고 있다. 사람은 하루에 1.5리터의 물을 배설하는데 물을 공급하는 것 못지않게 체내의 수분을 제대로 배설하지 못하면 봄이 붓는 부종 증세가 나타난다.    부종의 원인은 여러 가지가 있으며 비타민 B1의 부족으로 생기는 각기병에서도 나타나는데, 임산부들은 임신 5~6개월 이후가 되면 임신 중독증에 부종이 생기는 경우가 많다. 이러한 각기 부종과 임신 부종에 좋은 식품으로 예부터 전해 내려오는 것이 잉어와 팥을 달여 그 즙을 마시는 것이다.   잉어는 고기 맛이 좋을 뿐 아니라 약효도 뛰어나 예로부터 약재료로도 많이 사용해 왔다. 몸이 붓고 소변을 잘 못 보는데 좋은 잉어는 전국 높은 지대 산골짜기 찬물을 제외한 거의 모든 수역에 분포되어 있다. 세계적으로 아시아 유럽 아프리카 등지의 민물에서 산다. 잉어는 몸이 붓고 소변을 잘 보지 못할 때나 산모가 아이를 낳고 젖이 잘 나오지 않을 때 임산부의 산후조리에 도움을 주는 건강 보조 식품 등으로 많이 사용되며 각기병·황달·기침 등에도 쓰인다.부종을 고치기 위해 잉어에 넣는 팥에는 사포닌이라는 특수한 성분이 들어있는데 이 사포닌이 우러나와 몸에 부담을 덜 주면서 체내에서의 수분을 배출하는데 도움을 준다."
59,굴 요리엔 레몬즙을 뿌려요.," ‘바다의 우유라고 일컬어지는 굴은 예로부터 영양과 맛이 뛰어나고 바다의 신선한 풍미와 담백한 맛 때문에 세계 여러나라에서 애용되고 있는 식품이다. 굴은 육질이 부드럽고 매끄러우며 감칠맛을 지니고 있을 뿐 아니라 비타민과 무기질 등도 풍부한 데다 소화 흡수성도 좋아 발육기의 어린이, 임산부, 노인, 병후 회복기의 환자에게 좋은 식품이다.  이렇게 영양분이 많은 굴은 자가 효소가 많이 들어있어 시간이 지나면 탄력이 떨어져 축 처지게 되고, 세균이 번식할 위험도 높다. 이러한 결점을 보완하는 신비한 힘을 가지고 있는 것이 바로 레몬이다.  레몬은  강한 신맛을 가지고 있는데 굴에 레몬즙을 떨어뜨리면 나쁜 냄새가 가시고 상큼한 맛을 더해 식욕을 돋워 주는 역할을 한다. 또한 식중독 세균의 번식을 억제하고, 살균효과도 뛰어나다.    굴에는 우수한 단백질과 철분이 풍부해 식은땀을 흘리는 허약체질과 빈혈의 예방과 치료에 도움을 주며 피부미용에도 뛰어난 효능을 발휘한다. 레몬의 신맛인 구연산은 철분의 장내 흡수를 도와준다는 사실이 최근 밝혀지고 있다. 따라서 굴을 먹을 때 귤이나 레몬즙을 함께 먹으면 빈혈 치료효과가 더욱 커진다."
60,숙취해소엔 조개탕과 쑥갓이 일품,"숙취해소를 위해 따끈한 조개탕 국물만큼 해장용 음식으로 일품인 것도 없을 것이다. 조개탕의 시원한 국물을 들여 마시면 불편한 속이 편안해지고 술이 잘 깨는 효과가 있다.   조개는 종류에 따라 성분이 조금씩 차이가 있지만 단백질이 가장 많고 해산물인 물고기에 비해 지방 함량이 적은 것이 특징이다. 조개의 단백질 속에는 히스티딘 · 라이신 등의 아미노산이 많고 당질인 글리코겐이 풍부해 간장 질환과 담석증 환자에게 좋은 영양식품이다.   조개국물의 시원한 맛은 질소화합물인 타우린, 베타인, 아미노산, 핵산류와 호박산 등이 어우러진 것인데 아미노산의 하나인 타우린은 간질에 유효하며 고혈압과 뇌일혈 증세 억제효과가 있으며 체내 지방의 분해를 도와줄 뿐 아니라 간장의 해독작용을 향상시키는 힘을 가지고 있다. 또한 조개에는 특수성분으로 유기산의 일종인 호박산이 들어 있는데 이것이 조개탕의 시원한 맛을 주는 중요한 성분의 하나이다.  지구상에 존재하는 어떤 것도 사람이 필요로 하는 모든 영양소를 다 가지고 있는 완전한 식품은 없다. 조개류가 우수한 단백질과 철분을 가지고 있으나 적혈구를 만들 때 도움을 주는 엽록소·비타민 A와 C는 없거나 너무나 빈약하다. 그래서 조개탕을 끓여서 먹기 전에 쑥갓과 같은 채소를 곁들이면 상큼한 맛을 주어 좋을 뿐 아니라 영양의 균형을 찾는 합리적인 식생활이 될 수 있다.  쑥갓은 칼슘이 많고 비타민 A와 C가 풍부한 알칼리성 식품이다. 또한 영양성분은 아니나 엽록소가 풍부해서 적혈구 형성에 도움을 주고 혈중 콜레스테롤 저하 효과가 있어 건강유지에 매우 큰 몫을 담당하고 있다. "
61,멸치요리에는 풋고추를 함께 넣어요.," 멸치는 등이 검푸르며 배는 은백색인 물고기로 우리나라 주요 수산자원의 하나로 산업적 가치가 클 뿐 아니라 식품 영양학적으로도 크나큰 가치가 있다. 멸치는 뼈째 먹는 생선으로 단백질과 칼슘이 풍부하여 성장기의 어린이나 임산부에게는 많이 권장되는 식품이다.   멸치조림은 멸치를 볶아 엿장으로 조미한 찬으로 칼슘의 좋은 급원이 된다. 멸치조림을 할 때 흔히 풋고추를 같이 사용하는데 영양적인 면을 고려할 때  합리적인 선택이라 할 수 있다.  풋고추에는 비타민 A의 모체인 베타카로틴이 많이 들어 있는데 이 성분은 활성산소, 유해산소를 예방해 항암효과도 클 뿐 아니라 몸의 정상발육, 피부점막 등의 상피세포의 분화, 시각작용에 중요한 역할을 한다. 이 베타카로틴의 흡수를 도와주는 것이 담즙과 지방인데  멸치조림을 할 때 참기름을 쓰며 멸치 자체도 지방 성분이 있기 때문에 풋고추가 가지고 있는 베타카로틴의 이용효과를 높이게 된다.  또한 비타민 C가 풋고추에는 감귤의 2배 이상이나 들어있다. 비타민 C는 항산화제로서 몸속에 결합 조직을 구성하는 단백질인 콜라겐 형성에 반드시 필요하며 철이 잘 흡수되도록 돕고 면역 기능 및 상처 회복에 중요한 역할을 한다.  "
